what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322883622253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322883657455
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883657630
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883657681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883662379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883663652
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322883663664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883665167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883666723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883668549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883669747
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322883672297
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883685129
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883688118
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883699639
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883702456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322883703393
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1322883705079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883706649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322883708385
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1322883710029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322883714497
